source,category,title,url,cluster
BBC,Business,"Adorable or just weird? How Labubu dolls conquered the worldThe dolls have almost tripled their maker's profits - and according to some, energised Chinese soft power.19 hrs agoAsia",https://www.bbc.com/news/articles/cy4ydxlm9n9o,0
BBC,Business,Telegram boss to leave fortune to over 100 children he has fatheredThe technology tycoon said his children would not have access to their inheritance for 30 years.12 hrs ago,https://www.bbc.com/news/articles/c77v4x8g7pro,0
BBC,Business,"World of BusinessGain the leading edge with global insights for the boardroom and beyond, in your inbox every Wednesday.",https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,0
BBC,Business,Texas Instruments pledges 'historic' $60bn US chip investmentThe announcement comes as Trump pressures big technology firms to increase manufacturing in America.2 days agoBusiness,https://www.bbc.com/news/articles/c5yl0877zzmo,0
BBC,Business,"Devastating crash threatens Air India's ambitious turnaroundThe tragedy happened as Air India was on the ""final climb phrase"" of its brand transformation after the Tata buyout.2 days agoAsia",https://www.bbc.com/news/articles/cglz239ydrjo,0
BBC,Business,Telegram boss to leave fortune to over 100 children he has fatheredThe technology tycoon said his children would not have access to their inheritance for 30 years.12 hrs ago,https://www.bbc.com/news/articles/c77v4x8g7pro,0
BBC,Business,BBC threatens AI firm with legal action over unauthorised content useIt is first time that the BBC has taken such action regarding alleged scraping of its content for AI.8 hrs agoTechnology,https://www.bbc.com/news/articles/cy7ndgylzzmo,0
BBC,Business,Trump confirms further delay to TikTok ban or sale deadlineIt's the third time the date has been moved back by Trump since he took office in January.1 day agoTechnology,https://www.bbc.com/news/articles/cd78xljd71yo,0
BBC,Business,Interest rates held at 4.25% by Bank of EnglandThe central bank decides to hold interest rates at 4.25% with inflation remaining above its target level.1 day agoBusiness,https://www.bbc.com/news/articles/c98wyyk475no,0
BBC,Business,"World of BusinessGain the leading edge with global insights for the boardroom and beyond, in your inbox every Wednesday.",https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,0
BBC,Business,Business DailyThailand’s battle against e-waste,https://www.bbc.com/audio/play/w3ct6sc7,0
BBC,Business,Business DailyThailand and Malaysia: Growth under pressure,https://www.bbc.com/audio/play/w3ct6s6q,0
BBC,Business,Business DailyBusiness Daily meets: Activist investor David Webb,https://www.bbc.com/audio/play/w3ct6rs4,0
BBC,Business,Business DailyThe craft brewers and tariffs,https://www.bbc.com/audio/play/w3ct6sc6,0
BBC,Business,Business DailyThe economics of Hajj,https://www.bbc.com/audio/play/w3ct6rs3,0
BBC,Business,Business DailyParaguay: South America's Silicon Valley?,https://www.bbc.com/audio/play/w3ct6rxm,0
BBC,Business,Business DailyCritical minerals: What does the future hold?,https://www.bbc.com/audio/play/w3ct6rs2,0
BBC,Business,Business DailyThe environmental impact of mineral mining,https://www.bbc.com/audio/play/w3ct6s23,0
BBC,Business,Business DailyChina: The mineral superpower,https://www.bbc.com/audio/play/w3ct6s6m,0
BBC,Business,"Can shoes be made in the US without cheap labour?American production is possible, but it often needs to be automated to be cost effective.5 days agoBusiness",https://www.bbc.com/news/articles/cr4zvezn5nlo,0
BBC,Business,Indian scientists search for the perfect appleIndia can't grow enough apples to meet demand but farmers are struggling to raise production.8 days agoAsia,https://www.bbc.com/news/articles/c0l05762elpo,0
BBC,Business,Markets muted amid Middle East conflict - 18 Jun 2025Global investment expert says markets are in a 'wait and see mode' amid escalating tensions in the Middle East.See more,https://www.bbc.com/reel/video/p0lk0fhw/markets-muted-amid-middle-east-conflict-18-jun-2025,0
BBC,Business,"Why Ukraine is one of the world's most digital countriesDespite the war, Ukraine has developed of the most advanced systems for digital government services.See more",https://www.bbc.com/news/articles/cm234l04xmro,0
BBC,Business,"Fed holds interest rates for fourth time despite tariff turmoilThe US central bank leaves its key interest rate unchanged at 4.3%, as its view of the economy darkens.2 days agoUS & Canada",https://www.bbc.com/news/articles/cjwn3pxpgyvo,0
BBC,Business,"Japan's Nippon seals controversial US Steel deal after Trump pactNippon agreed to give a ""golden share"" to the US government to win approval of the takeover.2 days agoUS & Canada",https://www.bbc.com/news/articles/cr795e229lmo,0
BBC,Business,Los Angeles Lakers to sell majority ownership in historic dealThe deal would mark the most expensive sale of a US sports team in history.2 days agoUS & Canada,https://www.bbc.com/news/articles/c4gd4d87el3o,0
BBC,Business,"OpenAI boss: Meta offering $100m plus to poach my staffSam Altman said so far none of his ""best people"" had jumped ship to his big tech rival.2 days agoTechnology",https://www.bbc.com/news/articles/c8730088e5do,0
BBC,Business,"Trump to extend US TikTok ban deadline, White House saysThe app was supposed to be banned in the US after its Chinese owner refused to sell it by a January deadline.3 days agoTechnology",https://www.bbc.com/news/articles/cwyqjepq2e1o,0
BBC,Business,Amazon boss says AI will replace jobs at tech giantAndy Jassy tells staff to embrace artificial intelligence (AI) as he warns the workforce will get smaller.3 days agoBusiness,https://www.bbc.com/news/articles/cn0q2v851k9o,0
BBC,Business,Playing with FIRE: How to quit work and retire in your 30sA personal finance strategy popular among millennials is helping them to quit their job and retire decades early.23 Apr 2024Future of business,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,0
BBC,Business,"Boomerang CEOs: Do they ever succeed?Five years after being ousted from WeWork, Adam Neumann wants to re-buy the now-bankrupt business.8 Feb 2024Future of business",https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,0
BBC,Business,How industry leaders transformed their careerThe BBC's Katty Kay has spoken to successful change-makers to ask what made them pivot in their career.17 Jan 2024Work Culture,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,0
BBC,Business,"Women were the original beer brewers - what changed?Today, the beer industry is male-dominated, but it wasn't always so.7 Dec 2023Work Culture",https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,0
BBC,Business,How waiting alters our perception of timeExpert advice on how to get through a waiting period.14 Nov 2023Work Culture,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,0
BBC,Business,Do the super-rich 'deserve' their wealth?Should there be a cap on billionaires' wealth and their inheritances?14 Nov 2023Future of business,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,0
BBC,Business,"Four simple hacks to succeed in every conversationA career coach, a choreographer, a chef and a dragon boat captain offer advice on giving critical feedback.14 Nov 2023Work Culture",https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,0
BBC,Business,Solo and hybrid work: Navigating our future and new normalCovid-19 reshaped the way we live and work. We rethink solo working and explore the future of work-life.14 Nov 2023Future of business,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,0
BBC,Business,"Can supersonic flight ever be sustainable?How a new era of quiet, net zero supersonic airliners could revolutionise the aviation industry.14 Nov 2023Future of business",https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,0
